año,Importe del contrato,Código del contrato,Proveedor o contratista,Siglas de la Institución,producto,Número del procedimiento,Descripción 3,Tipo de contratación,dia,Fecha de inicio del contrato
2021,120.0,2667755,SOLUCIONES BEMEDICAL SA DE CV,IMSS,,AA-050GYR082-E25-2021,,Adquisiciones,08-06-2023,2021-05-18
2021,18000.0,2667756,SOLUCIONES BEMEDICAL SA DE CV,IMSS,,AA-050GYR082-E25-2021,,Adquisiciones,08-06-2023,2021-05-18
2021,357.5,2667764,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E25-2021,,Adquisiciones,08-06-2023,2021-05-18
2022,37038.75,2876844,DEWIMED SA,IMSS,Accesorios,AA-050GYR026-E288-2022,,Adquisiciones,08-06-2023,2022-04-10
2021,1716.0,2667766,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E25-2021,,Adquisiciones,08-06-2023,2021-05-18
2021,34344.0,2667770,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E25-2021,,Adquisiciones,08-06-2023,2021-05-18
2021,61620.0,2668391,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-09
2021,156017.4,2668392,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-09
2021,13863.2,2668404,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-10
2021,13650.0,2668405,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-10
2021,25856.25,2668406,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-10
2021,695856.0,2583417,AGILENT TECHNOLOGIES MEXICO S DE RL DE CV,CONAGUA,Servicios,AA-016B00015-E92-2021,,Servicios,08-06-2023,2021-09-20
2021,195000.0,2668407,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-10
2021,11940.0,2668408,LABORATORIOS PISA SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-10
2022,1191148.2,2789935,BAXTER SA DE CV,IMSS,Consumibles,LA-050GYR076-E7-2022,,Adquisiciones,08-06-2023,2022-12-04
2021,15975.0,2668549,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,3013.4,2668550,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,13975.0,2668551,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,1170.0,2668552,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,2535.0,2668553,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,28980.0,2668554,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2022,561600.0,2806374,DURFA SA DE CV,IMSS,,AA-050GYR082-E54-2022,,Adquisiciones,08-06-2023,2022-09-05
2021,19760.0,2668555,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,1625.0,2668556,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-13
2021,5112.0,2668557,DIAZ COMERCIALIZADORA FARMACEUTICA SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-16
2021,12502.0,2668558,DIAZ COMERCIALIZADORA FARMACEUTICA SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-16
2022,510000.0,2924523,CORPORATIVO MS SISTEMAS MEDICOS SA DE CV,IMSS,,LA-050GYR029-E415-2022,,Adquisiciones,08-06-2023,2022-10-15
2021,14060.0,2668561,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-19
2021,306323.85,2668562,BAXTER SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-19
2021,85888.0,2668564,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-20
2021,87978.0,2668565,GRUPO BIOMYRE SC,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-24
2021,183.0,2668566,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-24
2021,507500.0,2668568,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,9675.0,2668591,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-26
2021,2920.5,2668593,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-26
2021,2380.0,2668594,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-26
2021,15985.0,2668605,GRUPO BIOMYRE SC,IMSS,,AA-050GYR082-E15-2021,,Adquisiciones,08-06-2023,2021-03-16
2021,12000.0,2668609,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E15-2021,,Adquisiciones,08-06-2023,2021-03-16
2021,86206.9,2447470,ELECTROMEDICINA DE JALISCO SA DE CV,IMSS,Servicios,AA-050GYR079-E7-2021,,Adquisiciones,08-06-2023,2021-02-10
2021,549999.0,2614414,MEDICAL SCOPE SA DE CV,SSA,Servicios,AA-012000991-E315-2021,,Servicios,08-06-2023,2021-08-19
2021,267824.0,2441844,TECMELAB SA DE CV,IMSS,Servicios,LA-050GYR025-E639-2020,,Servicios,08-06-2023,2021-01-29
2021,407808.0,2615395,LABORATORIO DE CALIBRACION Y PRUEBAS SIMCA S,INER,Servicios,AA-012NCD002-E84-2021,,Servicios,08-06-2023,2021-10-01
2022,55258.23,2841954,FUJIFILM DE MEXICO SA DE CV,INCMNSZ,Servicios,AA-012NCG001-E1672-2022,,Servicios,08-06-2023,2022-09-06
2022,342906.3,2819250,BAXTER SA DE CV,IMSS,Consumibles,LA-050GYR082-E34-2022,,Adquisiciones,08-06-2023,2022-05-05
2021,895283.2,2588127,PROMEDICA GARCIA SA DE CV,IMSS,Servicios,IA-050GYR020-E193-2021,,Adquisiciones,08-06-2023,2021-09-14
2021,596396.0,2439643,COMERCIALIZADORA UCIN S A P I DE CV,HJM,Servicios,AA-012NAW001-E11-2021,,Adquisiciones,08-06-2023,2021-01-26
2021,71551.73,2535798,CONTROL TECNICO REPRESENTACIONES  SA DE CV,CIAD,Mesas,AA-0389ZY998-E221-2021,,Adquisiciones,08-06-2023,2021-06-08
2021,104057.1,2588267,BIOABAST SA DE CV,HRAEO,Servicios,AA-012NBR001-E174-2021,,Adquisiciones,08-06-2023,2021-07-23
2022,42148.0,2889050,PABLO BARRON HUEPALCALCO,CINVESTAV,Servicios,AA-011L4J995-E955-2022,,Adquisiciones,08-06-2023,2022-10-14
2022,121980.0,2758465,LECO MEXICO S DE RL DE CV,SGM,Servicios,AA-010LAU001-E55-2022,,Servicios,08-06-2023,2022-04-22
2021,189000.0,2667000,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E5-2021,,Adquisiciones,08-06-2023,2021-02-15
2021,102000.0,2667002,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E5-2021,,Adquisiciones,08-06-2023,2021-02-15
2021,10556.0,2667015,ADRIAN SOLIS GONZALEZ,IMSS,,AA-050GYR082-E5-2021,,Adquisiciones,08-06-2023,2021-02-17
2021,274104.0,2667023,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E5-2021,,Adquisiciones,08-06-2023,2021-02-17
2021,2800.0,2667028,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E5-2021,,Adquisiciones,08-06-2023,2021-02-17
2021,315.0,2667612,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,591.5,2667613,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,1460.0,2667614,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,72842.4,2667616,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,4350.0,2667617,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,27825.7,2667619,COMERCIT SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,12925.0,2667623,CONSORCIO HOSPITALARIO SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,3040.0,2667625,CONSORCIO HOSPITALARIO SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,1489.86,2667628,COMERCIALIZADORA FARMACEUTICA DE MEXICO SA DE,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,840.0,2667630,COMERCIALIZADORA FARMACEUTICA DE MEXICO SA DE,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2022,296200.0,2758232,BIO NATURA INGENIERIA SA DE CV,SEMAR,Servicios,IA-013000999-E331-2022,,Adquisiciones,08-06-2023,2022-04-27
2021,84600.0,2442353,ROGAIN MEDICAL SA DE CV,IMSS,Servicios,LA-050GYR091-E180-2020,,Servicios,08-06-2023,2021-02-02
2021,2025037.0,2493715,SERVICES INDUSTRIAL EQUIPMENT AND SYSTEMS SA,IMSS,Servicios,LA-050GYR076-E98-2020,,Servicios,08-06-2023,2021-01-01
2021,47000.0,2442347,ASESORIA BIOMEDICA CALIFICADA SA DE CV,IMSS,Servicios,LA-050GYR091-E180-2020,,Servicios,08-06-2023,2021-02-02
2021,3040452.7,2668541,VISION BIOMEDICA SA DE CV,IMSS,Servicios,IA-050GYR989-E26-2021,,Servicios,08-06-2023,2021-10-27
2021,1000060.82,2588589,SUMINISTROS MEDICOS AZUL SA DE CV,NAY,Consumibles,LA-918002995-E23-2021,,Adquisiciones,08-06-2023,2021-08-24
2021,150000.0,2668411,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,29700.0,2668412,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,193200.0,2668414,COMERCIALIZADORA MEDMONT SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,144000.0,2668426,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,176000.0,2668427,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,128000.0,2668428,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,222075.0,2668430,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,601600.0,2668431,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,328440.0,2668432,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,124000.0,2668433,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,10005.0,2668434,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,262500.0,2668436,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-11
2021,49685.55,2668456,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-12
2021,36763.2,2668457,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-12
2021,91252.96,2668460,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-12
2021,12987.0,2668464,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-12
2021,515746.7,2537988,IDEM MEDICAL SA DE CV,IMSS,Consumibles,AA-050GYR033-E131-2021,,Adquisiciones,08-06-2023,2021-06-28
2021,12800.0,2668613,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,,AA-050GYR082-E15-2021,,Adquisiciones,08-06-2023,2021-03-16
2022,73000.0,2887405,MARIA CELIA CATALINA MANRIQUEZ GUADARRAMA,CINVESTAV,Servicios,AA-011L4J999-E748-2022,,Servicios,08-06-2023,2022-10-14
2021,66786.5,2668632,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E15-2021,,Adquisiciones,08-06-2023,2021-03-18
2021,288207.0,2493835,ROSA ELVA CORONADO MATA,IMSS,Servicios,LA-050GYR076-E98-2020,,Servicios,08-06-2023,2021-01-01
2021,107965.0,2668618,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-27
2021,585.0,2668620,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,819.0,2668621,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2021,14743.08,2668622,MAQUIRMEX SA DE CV,IMSS,,AA-050GYR082-E23-2021,,Adquisiciones,08-06-2023,2021-04-29
2022,44512.0,2865098,CAPACE MEDICAL SA DE CV,IMSS,,AA-050GYR082-E83-2022,,Adquisiciones,08-06-2023,2022-08-23
2022,561600.0,2806372,DURFA SA DE CV,IMSS,,AA-050GYR082-E54-2022,,Adquisiciones,08-06-2023,2022-09-05
2021,1798234.0,2677295,DISTRIBUCION Y GESTION AVANZADA EN SALUD Y CO,NAY,,LA-918032996-E20-2021,,Adquisiciones,08-06-2023,2021-12-15
2021,197790.0,2592689,GRUPO EOLICA SA DE CV,INER,Ventilacion,AA-012NCD001-E401-2021,,Adquisiciones,08-06-2023,2021-09-20
2021,60400.0,2592692,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,INER,Laboratorio,AA-012NCD001-E402-2021,,Adquisiciones,08-06-2023,2021-09-20
2022,178490.52,2748585,INOLAB ESPECIALISTAS DE SERVICIO SA DE CV,INSP,Otros,AA-012NDY002-E19-2022,,Adquisiciones,08-06-2023,2022-03-31
2021,34944.0,2592693,CARL ZEISS DE MEXICO SA DE CV,INER,Laser,AA-012NCD001-E403-2021,,Adquisiciones,08-06-2023,2021-09-20
2021,299400.0,2592695,GRUPO EOLICA SA DE CV,INER,Ventilacion,AA-012NCD001-E407-2021,,Arrendamientos,08-06-2023,2021-09-20
2022,875026.0,2759597,BIOMEDICA RAROCH SA DE CV,IMSS,Servicios,LA-050GYR022-E55-2022,,Servicios,08-06-2023,2022-03-29
2021,1724124.9,2678341,JL WISSENSCHAFT GROUP SA DE CV,IMSS,Servicios,AA-050GYR022-E444-2021,,Servicios,08-06-2023,2021-11-18
2021,54000.0,2442373,KYC MEDICAL S DE RL DE CV,IMSS,Servicios,LA-050GYR091-E180-2020,,Servicios,08-06-2023,2021-02-02
2021,59000.0,2442432,INTEGRACION DE EQUIPOS ELECTRICOS Y ELECTRONI,INECOL,Servicios,AA-03891Q001-E22-2021,,Servicios,08-06-2023,2021-02-09
2021,559240.0,2621293,TAQ SISTEMAS MEDICOS,HGM,Servicios,AA-012NBD001-E518-2021,,Servicios,08-06-2023,2021-10-11
2022,2301250.0,2822557,PAK BIOMEDLAND TECH CARE SA DE CV,IMSS,Servicios,LA-050GYR025-E360-2021,,Servicios,08-06-2023,2022-07-15
2022,69827.59,2742607,VARLIX MEXICO SA DE CV,IMSS,Consumibles,AA-050GYR039-E1-2022,,Adquisiciones,08-06-2023,2022-09-03
2021,206329.62,2535509,CONTROL TECNICO Y REPRESENTACIONES SA DE CV,CINVESTAV,Monitoreo,AA-011L4J998-E107-2021,,Adquisiciones,08-06-2023,2021-07-01
2021,29600.0,2535529,ERIC SALVADOR PEREZ CHAVEZ,ISSSTE,Servicios,AA-051GYN040-E15-2021,,Servicios,08-06-2023,2021-04-29
2022,229041.07,2849107,MB INSTRUMENTOS SA DE CV,CENAM,Servicios,AA-010K2H001-E241-2022,,Servicios,08-06-2023,2022-08-31
2022,21724.0,2796880,AUDIO SISTEMAS DE MEXICO SA DE CV,IMSS,,AA-050GYR057-E170-2022,,Adquisiciones,08-06-2023,2022-09-06
2021,55855.5,2448173,NURIMED SA DE CV,IMSS,Cuidado materno infantil,AA-050GYR040-E6-2021,,Adquisiciones,08-06-2023,2021-02-06
2021,0.0,2583368,AB SCIEX,CONAGUA,Servicios,AA-016B00015-E91-2021,,Servicios,08-06-2023,2021-09-20
2021,94359.84,2493171,XEXELOA BIOCOMP SA DE CV,HRAEO,Servicios,AA-012NBR001-E97-2021,,Adquisiciones,08-06-2023,2021-03-11
2021,1224.0,2668664,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,960.0,2668667,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,4036.8,2668668,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,16596.0,2668672,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,21252.0,2668675,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,2969.85,2668677,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,2880.0,2668680,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,22400.0,2668681,CENTRO DE INNOVACION GUBERNAMENTAL LOCAL CIGL,IMSS,,AA-050GYR082-E49-2021,,Adquisiciones,08-06-2023,2021-10-01
2022,904900.0,2709128,BEMET INGENIERIA Y EQUIPO MEDICO SA DE CV,IMSS,Servicios,LA-050GYR020-E347-2021,,Adquisiciones,08-06-2023,2022-02-25
2021,142000.0,2612951,ABALAT SA DE CV,HGM,Servicios,AA-012NBD001-E453-2021,,Servicios,08-06-2023,2021-10-07
2022,160000.0,2856785,METROLOGIA DEL NORESTE SA DE CV,CENAM,Servicios,AA-010K2H001-E270-2022,,Servicios,08-06-2023,2022-08-08
2021,4800.0,2680026,AMC BIOMEDICAL SA DE CV,IMSS,Consumibles,LA-050GYR012-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,128538.5,2680032,AZTEC MEDIC SA DE CV,IMSS,Consumibles,LA-050GYR012-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,55370.0,2680036,BRUCE MEDICA INTERNACIONAL SA DE CV,IMSS,Consumibles,LA-050GYR012-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,79894.0,2680042,SERVICIOS MEDICOS Y TECNICOS SA DE CV,IMSS,Consumibles,LA-050GYR012-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,291700.0,2612989,COMERCIALIZADORA DE SERVICIOS INTEGRALES JUVA,HGM,Servicios,AA-012NBD001-E454-2021,,Servicios,08-06-2023,2021-10-11
2021,258534.48,2587194,COMERCIALIZADORA ORCU SA DE CV,CHIS,Cuidado materno infantil,IA-907049991-E1-2021,,Adquisiciones,08-06-2023,2021-09-29
2021,25205.0,2536348,GABRIEL DELGADO ALONSO,HRAEPY,Servicios,AA-012NBS001-E74-2021,,Adquisiciones,08-06-2023,2021-07-01
2021,385567.0,2677480,CILOMA SA DE CV,IMSS,Servicios,AA-050GYR979-E71-2021,,Servicios,08-06-2023,2021-11-08
2021,1430000.0,2618439,INSTRUMENTACION MEDICA SA DE CV,INCAN,Servicios,AA-012NBV001-E344-2021,,Servicios,08-06-2023,2021-10-12
2022,188388.0,2789938,COMERCIALIZADORA UCIN S A P I DE CV,IMSS,Consumibles,LA-050GYR076-E7-2022,,Adquisiciones,08-06-2023,2022-12-04
2021,2418000.0,2618486,BRUKER MEXICANA SA DE CV,SGM,Rayos x,AA-010LAU001-E171-2021,,Adquisiciones,08-06-2023,2021-10-05
2022,198450.0,2789948,PRODUCTOS E INNOVACIONES MEDICAS Y HOSPITALAR,IMSS,Consumibles,LA-050GYR076-E7-2022,,Adquisiciones,08-06-2023,2022-12-04
2022,437400.0,2789951,SERVICIO Y SOPORTE BIOMEDICO SA DE CV,IMSS,Consumibles,LA-050GYR076-E7-2022,,Adquisiciones,08-06-2023,2022-12-04
2022,458680.5,2789952,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,IMSS,Consumibles,LA-050GYR076-E7-2022,,Adquisiciones,08-06-2023,2022-12-04
2022,569168.85,2922031,WATERS SA DE CV,INP,Servicios,AA-012NCZ002-E136-2022,,Servicios,08-06-2023,2022-10-17
2022,162237.39,2838642,INGENIERIA Y ELECTROSISTEMAS SA DE CV,IMSS,Servicios,AA-050GYR050-E134-2022,,Servicios,08-06-2023,2022-08-15
2022,98134.0,2896499,ADVANCED STERILIZATION S DE RL DE CV,IMSS,Consumibles,AA-050GYR037-E194-2022,,Adquisiciones,08-06-2023,2022-10-19
2022,55000.0,2924855,LNI SWISSGAS LATAM SA DE CV,IPICYT,Laboratorio,AA-03891W001-E373-2022,,Adquisiciones,08-06-2023,2022-06-12
2022,319822.21,2799776,MANTENIMIENTO PREVENTIVO Y CORRECTIVO SA DE C,SEMAR,Servicios,AA-013000999-E818-2022,,Servicios,08-06-2023,2022-06-21
2021,413793.11,2447433,LIZBETH CECILIA GARDUNO OROZCO,IMSS,Servicios,AA-050GYR079-E7-2021,,Adquisiciones,08-06-2023,2021-02-10
2022,258000.0,2753660,CASONATO STEELCO SPA SA DE CV,IMSS,Servicios,LA-050GYR015-E44-2022,,Servicios,08-06-2023,2022-11-04
2022,383028.0,2833939,CIB RESOLVE S DE RL DE CV,ESSA,,LA-010K2N001-E468-2022,,Adquisiciones,08-06-2023,2022-07-14
2022,383112.0,2892081,CONTROL TECNICO Y REPRESENTACIONES SA DE CV,INECOL,Laboratorio,AA-03891Q002-E51-2022,,Adquisiciones,08-06-2023,2022-10-14
2021,385000.0,2614353,SUMINISTRO PARA USO MEDICO Y HOSPITALARIO SA,SSA,Servicios,AA-012000991-E312-2021,,Servicios,08-06-2023,2021-09-08
2021,450999.99,2614383,KYLMA SERVICIOS DE INGENIERIA SA DE CV,SSA,Servicios,AA-012000991-E313-2021,,Servicios,08-06-2023,2021-09-08
2021,220564.82,2588631,LOGISTICA Y TECNOLOGIAS PARA LABORATORIOS SA,NAY,Consumibles,LA-918002995-E23-2021,,Adquisiciones,08-06-2023,2021-08-24
2022,344267.6,2917311,TECNO COMERCIAL PAKTLI SA DE CV,IMSS,,IA-050GYR009-E209-2022,,Adquisiciones,08-06-2023,2022-11-18
2022,238435.0,2829292,ESPECIALISTAS EN ESTERILIZACION Y ENVASE SA D,HIM,Servicios,AA-012NBG001-E90-2022,,Servicios,08-06-2023,2022-01-08
2022,1183617.0,2835481,CARL ZEISS DE MEXICO SA DE CV,CIDETEQ,Servicios,AA-03890K001-E46-2022,,Servicios,08-06-2023,2022-10-08
2021,87521.1,2668560,SARO MEDICAL SA DE CV,IMSS,,AA-050GYR082-E40-2021,,Adquisiciones,08-06-2023,2021-08-19
2022,223017.0,2823263,VWS MEXICO SA DE CV,CENAM,Servicios,AA-010K2H001-E191-2022,,Servicios,08-06-2023,2022-08-08
2021,70983.57,2591830,SPECTRIS MEXICO,CENAM,Servicios,AA-010K2H001-E221-2021,,Servicios,08-06-2023,2021-09-24
2022,84340.0,2886278,ASESORIA LOGISTICA PROYECTOS Y EQUIPO SA DE C,CINVESTAV,,AA-011L4J995-E1012-2022,,Adquisiciones,08-06-2023,2022-08-24
2022,402279.96,2841783,GRUPO EMEQUR,IMSS,Servicios,AA-050GYR058-E437-2022,,Adquisiciones,08-06-2023,2022-07-14
2021,2226747.92,2591847,SERVICIOS Y PROYECTOS DE ACTUALIZACION TECNOL,IMSS,Servicios,AA-050GYR016-E42-2021,,Servicios,08-06-2023,2021-02-11
2021,734192.7,2497784,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,IMSS,Laboratorio,IA-050GYR008-E118-2021,,Adquisiciones,08-06-2023,2021-05-01
2022,34700.4,2679503,LEXFARMA SA DE CV,IMSS,Consumibles,AA-050GYR059-E4-2022,,Adquisiciones,08-06-2023,2022-01-17
2022,68000.0,2873048,REPRESENTACIONES INTERNACIONALES EN EQUIPO PA,INCMNSZ,Servicios,AA-012NCG001-E1844-2022,,Servicios,08-06-2023,2022-06-06
2022,37624.28,2889898,INPROS SA DE CV,LICONSA,Servicios,AA-008VST978-E30-2022,,Servicios,08-06-2023,2022-10-14
2021,94827.0,2495366,ANALYTICAL CONTROL,CENAM,Servicios,AA-010K2H001-E94-2021,,Servicios,08-06-2023,2021-04-29
2022,1093103.0,2905272,HEALTHCARE TECHNOLOGIES & SERVICES SA DE CV,COAH,Servicios,IA-905038959-E42-2022,,Servicios,08-06-2023,2022-08-15
2022,33890.32,2901907,ALDO YAIR TENORIO BARAJAS,CINVESTAV,Servicios,AA-011L4J995-E918-2022,,Adquisiciones,08-06-2023,2022-10-14
2021,177977.0,2588935,DBR DE MEXICO SA DE CV,IMP,Servicios,AA-018T0O004-E294-2021,,Servicios,08-06-2023,2021-09-20
2022,645000.0,2897967,QUANTUM MEDICAL GROUP SA DE CV,IMSS,Servicios,LA-050GYR033-E464-2022,,Servicios,08-06-2023,2022-10-25
